Date;Close;High;Low;Open;Volume
18/10/2023;4.217.645.263.671.870;4.319.898.137.436.450;4.180.562.611.222.440;4.257.127.011.789.510;627294000
19/10/2023;4.208.150.100.708.000;4.327.694.617.861.220;4.186.260.067.633.130;427.911.712.275.924;501233000
20/10/2023;4.136.782.455.444.330;4.245.032.293.422.290;4.105.896.580.650.460;4.187.058.984.444.120;477266000
23/10/2023;4.295.509.338.378.900;4.322.796.955.938.640;4.092.603.485.604.560;41.209.903.709.929.400;478530000
24/10/2023;43.642.765.045.166.000;43.676.749.686.328;42.671.219.154.669.300;43.057.038.057.985.500;401463000
25/10/2023;41.759.639.739.990.200;43.629.774.950.649.300;4.153.574.451.341.270;4.337.788.900.782.000;398379000
26/10/2023;4.030.731.964.111.320;4.223.642.589.504.530;3.986.152.709.976.480;41.833.612.702.341.100;541001000
27/10/2023;40.481.239.318.847.600;4.118.691.356.194.540;3.999.646.337.372.590;4.111.094.855.365.010;416784000
30/10/2023;41.141.929.626.464.800;4.174.664.887.563.720;40.462.244.361.806.700;4.106.796.641.155.250;388028000
31/10/2023;40.761.104.583.740.200;408.600.615.518.642;39.211.823.492.574.100;4.043.125.946.211.650;517969000
01/11/2023;42.305.397.033.691.400;42.361.370.852.066.200;4.085.007.013.008.410;4.086.506.257.244.450;437593000
02/11/2023;43.485.843.658.447.200;4.386.366.687.925.390;42.874.127.693.562.100;43.307.924.724.858.700;409172000
03/11/2023;4.498.414.993.286.130;4.528.800.612.867.790;4.370.274.239.785.860;4.399.960.568.025.810;424610000
06/11/2023;4.572.980.499.267.570;459.137.216.751.558;4.487.819.849.776.820;452.640.212.668.527;400733000
07/11/2023;45.933.712.005.615.200;4.619.658.683.928.950;45.137.080.351.571.400;4.569.782.127.762.110;343165000
08/11/2023;4.655.242.919.921.870;4.684.529.275.560.300;4.594.670.707.955.400;4.607.864.590.938.380;346719000
09/11/2023;4.692.824.935.913.080;48.207.655.129.484.800;46.728.341.254.280.500;4.744.500.813.069.140;540496000
10/11/2023;483.126.106.262.207;4.844.954.820.582.580;4.726.109.976.651.120;4.747.799.830.791.120;421245000
13/11/2023;4.859.747.314.453.120;490.932.455.425.318;4.807.671.461.686.150;4.829.761.289.799.240;384136000
14/11/2023;4.963.299.560.546.870;49.810.914.551.979.100;4.901.728.364.536.210;4.965.698.656.195.240;416954000
15/11/2023;48.865.352.630.615.200;4.993.685.461.268.080;4.817.767.162.806.220;4.991.186.848.194.010;475497000
16/11/2023;4.945.707.702.636.710;49.502.058.162.016.700;48.307.612.072.684.000;4.865.644.941.593.300;339756000
17/11/2023;4.927.516.555.786.130;4.969.397.019.639.200;4.898.429.998.268.990;49.501.058.800.683.600;325205000
20/11/2023;5.038.564.682.006.830;5.052.458.236.287.960;4.915.821.508.964.930;4.928.915.491.828.100;414120000
21/11/2023;49.920.860.290.527.300;504.935.928.571.012;4.919.919.468.409.950;5.010.277.517.356.440;565747000
22/11/2023;4.869.342.803.955.070;50.311.677.390.399.400;4.766.790.243.959.160;49.828.903.283.324.700;899420000
24/11/2023;47.753.868.103.027.300;48.898.338.123.964.700;4.772.288.042.046.280;48.447.546.842.242.400;294645000
27/11/2023;4.821.965.408.325.190;4.850.751.887.716.150;4.762.992.722.854.210;4.777.785.748.284.770;395662000
28/11/2023;4.779.884.338.378.900;4.830.061.351.892.130;4.745.100.504.136.800;4.821.365.202.685.110;401491000
29/11/2023;4.811.770.248.413.080;4.873.941.604.084.300;4.783.783.339.129.850;48.356.594.013.738.700;382005000
30/11/2023;4.674.833.297.729.490;4.808.771.233.820.330;46.400.494.624.850.400;4.800.174.983.128.790;526247000
01/12/2023;4.674.333.190.917.960;47.178.131.734.648.900;46.165.600.596.706.200;4.650.344.524.286.750;369317000
04/12/2023;45.488.914.489.746.000;4.605.565.315.263.870;44.989.146.129.304.000;4.605.565.315.263.870;437543000
05/12/2023;4.654.852.294.921.870;4.658.250.677.034.520;4.525.400.705.552.950;45.448.933.555.568.100;371718000
06/12/2023;4.548.591.995.239.250;4.736.921.552.517.790;4.539.495.450.352.070;4.719.727.919.635.040;380590000
07/12/2023;4.657.850.646.972.650;4.661.149.502.575.520;4.558.687.833.083.040;4.568.284.295.931.470;350823000
